L1_Density,L2_Density,L3_Density,L4_Density,L1_Next,L2_Next,L3_Next,L4_Next,L1_Wait,L2_Wait,L3_Wait,L4_Wait,Emergency_Type,Green_Lane,Reason,Green_Time
45,19,76,24,55,59,80,94,1,2,0,3,None,Lane 3,Starvation,6
50,56,16,10,87,13,48,58,2,3,1,0,Police,Lane 4,Emergency_Police,10
16,95,100,86,91,82,59,68,3,4,0,1,Ambulance,Lane 3,Emergency_Ambulance,10
69,48,68,100,85,92,32,83,4,5,0,2,Fire Truck,Lane 3,Emergency_Fire Truck,10
85,77,43,24,55,24,76,75,5,6,1,0,Police,Lane 4,Emergency_Police,10
53,17,42,93,40,64,99,81,0,7,2,1,None,Lane 1,Starvation,3
48,58,88,93,23,60,99,27,1,8,0,2,Fire Truck,Lane 3,Emergency_Fire Truck,10
52,21,68,60,34,47,41,33,2,0,1,3,None,Lane 2,Starvation,3
30,37,32,51,67,16,88,85,3,0,2,4,None,Lane 2,Gridlock_Avoidance,3
83,47,51,61,10,29,11,80,0,1,3,5,None,Lane 1,Starvation,6
82,66,26,86,79,60,29,18,1,2,0,6,Fire Truck,Lane 3,Emergency_Fire Truck,10
68,27,52,86,57,48,93,43,0,3,1,7,Ambulance,Lane 1,Emergency_Ambulance,10
44,17,27,43,32,92,24,28,0,4,2,8,None,Lane 1,Gridlock_Avoidance,3
83,59,25,96,17,96,74,96,1,0,3,9,Fire Truck,Lane 2,Emergency_Fire Truck,10
71,77,96,84,20,56,74,60,2,1,4,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
74,95,37,96,33,44,37,88,3,2,0,1,None,Lane 3,Starvation,3
64,63,43,90,21,97,100,98,0,3,1,2,Police,Lane 1,Emergency_Police,10
55,39,42,24,22,41,48,63,1,0,2,3,None,Lane 2,Starvation,3
42,35,50,93,51,28,87,77,2,0,3,4,Ambulance,Lane 2,Emergency_Ambulance,10
42,35,50,93,51,28,87,77,3,1,0,5,Fire Truck,Lane 3,Emergency_Fire Truck,10
94,29,30,78,75,70,21,32,0,2,1,6,Ambulance,Lane 1,Emergency_Ambulance,10
59,87,47,98,27,96,60,25,1,3,2,0,None,Lane 4,Starvation,10
76,53,88,97,42,88,86,59,2,4,3,0,None,Lane 4,Gridlock_Avoidance,10
100,84,58,23,95,95,20,70,3,5,0,1,None,Lane 3,Gridlock_Avoidance,3
86,57,19,35,51,72,73,72,0,6,1,2,None,Lane 1,Starvation,10
44,74,27,27,36,30,45,96,1,0,2,3,Ambulance,Lane 2,Emergency_Ambulance,10
74,100,28,46,58,23,14,59,2,1,3,0,None,Lane 4,Starvation,3
39,84,25,60,70,74,54,98,3,0,4,1,Ambulance,Lane 2,Emergency_Ambulance,10
39,84,25,60,70,74,54,98,4,1,5,0,Police,Lane 4,Emergency_Police,10
22,17,55,64,20,61,46,60,5,2,0,1,Ambulance,Lane 3,Emergency_Ambulance,10
48,97,18,86,45,28,71,23,0,3,1,2,None,Lane 1,Starvation,3
51,88,42,48,11,42,57,45,1,4,0,3,Police,Lane 3,Emergency_Police,10
79,84,83,11,96,21,94,97,2,0,1,4,Police,Lane 2,Emergency_Police,10
48,35,64,10,51,52,67,83,3,1,0,5,Fire Truck,Lane 3,Emergency_Fire Truck,10
45,33,92,72,44,94,58,28,4,0,1,6,Ambulance,Lane 2,Emergency_Ambulance,10
45,33,92,72,44,94,58,28,5,1,2,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
64,67,95,72,45,61,53,36,0,2,3,1,None,Lane 1,Starvation,3
33,10,60,23,31,35,70,41,1,3,4,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
33,10,60,23,31,35,70,41,0,4,5,1,Police,Lane 1,Emergency_Police,10
91,72,54,92,41,38,98,40,1,0,6,2,None,Lane 2,Starvation,6
25,70,81,65,69,83,44,53,2,1,0,3,None,Lane 3,Starvation,6
61,73,29,87,54,55,64,19,3,2,1,0,None,Lane 4,Starvation,10
68,35,33,56,51,69,67,20,0,3,2,1,None,Lane 1,Starvation,3
11,58,59,56,37,77,34,63,1,4,3,0,Ambulance,Lane 4,Emergency_Ambulance,10
90,48,91,39,25,29,38,57,2,0,4,1,Ambulance,Lane 2,Emergency_Ambulance,10
92,44,84,85,87,65,49,76,3,0,5,2,Fire Truck,Lane 2,Emergency_Fire Truck,10
89,83,33,98,34,61,27,84,0,1,6,3,None,Lane 1,Starvation,10
55,99,100,45,50,54,30,26,1,2,0,4,Fire Truck,Lane 3,Emergency_Fire Truck,10
57,95,63,63,47,99,60,63,2,3,0,5,Fire Truck,Lane 3,Emergency_Fire Truck,10
30,86,54,61,76,22,78,45,3,0,1,6,None,Lane 2,Starvation,10
55,19,18,80,57,98,29,89,0,1,2,7,None,Lane 1,Starvation,3
17,16,33,70,92,23,88,14,1,2,3,0,None,Lane 4,Starvation,3
77,15,15,55,35,67,81,74,0,3,4,1,None,Lane 1,Gridlock_Avoidance,6
23,81,98,68,49,46,71,95,1,4,0,2,Fire Truck,Lane 3,Emergency_Fire Truck,10
25,70,35,45,92,17,52,31,2,0,1,3,Police,Lane 2,Emergency_Police,10
42,70,45,48,52,78,80,28,3,1,2,0,None,Lane 4,Starvation,3
54,89,91,71,42,83,11,82,0,2,3,1,None,Lane 1,Starvation,3
11,61,40,47,87,61,63,24,1,3,0,2,None,Lane 3,Starvation,3
46,100,43,51,38,87,93,45,2,4,1,0,None,Lane 4,Gridlock_Avoidance,3
95,100,67,21,60,97,42,21,0,5,2,1,None,Lane 1,Gridlock_Avoidance,10
46,51,55,63,71,68,92,13,1,0,3,2,None,Lane 2,Starvation,3
48,42,84,12,15,100,11,35,2,1,0,3,None,Lane 3,Starvation,6
93,60,73,17,16,19,67,36,3,2,1,0,Police,Lane 4,Emergency_Police,10
90,33,57,75,75,65,79,85,0,3,2,1,None,Lane 1,Starvation,10
50,61,79,11,57,82,53,69,1,4,0,2,None,Lane 3,Gridlock_Avoidance,6
49,51,12,56,11,34,70,87,2,5,1,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
49,51,12,56,11,34,70,87,3,6,0,1,Police,Lane 3,Emergency_Police,10
92,54,53,88,62,27,17,89,4,7,0,2,Fire Truck,Lane 3,Emergency_Fire Truck,10
43,94,67,75,24,49,97,37,0,8,1,3,None,Lane 1,Starvation,3
45,95,97,29,33,60,21,83,0,9,2,4,Ambulance,Lane 1,Emergency_Ambulance,10
45,95,97,29,33,60,21,83,1,10,3,0,Ambulance,Lane 4,Emergency_Ambulance,10
34,89,37,26,15,41,56,24,2,0,4,1,None,Lane 2,Starvation,10
29,83,39,87,70,33,40,84,0,1,5,2,Fire Truck,Lane 1,Emergency_Fire Truck,10
100,18,81,10,59,77,39,62,1,2,0,3,Ambulance,Lane 3,Emergency_Ambulance,10
80,24,84,54,81,66,87,79,0,3,1,4,Police,Lane 1,Emergency_Police,10
80,24,84,54,81,66,87,79,1,4,0,5,Police,Lane 3,Emergency_Police,10
12,25,66,37,82,40,90,53,2,0,1,6,Fire Truck,Lane 2,Emergency_Fire Truck,10
12,25,66,37,82,40,90,53,3,1,2,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
93,80,35,12,73,19,84,69,0,2,3,1,None,Lane 1,Starvation,10
42,97,67,35,30,75,36,27,1,3,0,2,None,Lane 3,Starvation,3
19,81,36,94,96,45,25,45,2,4,0,3,Ambulance,Lane 3,Emergency_Ambulance,10
19,81,36,94,96,45,25,45,0,5,1,4,Police,Lane 1,Emergency_Police,10
37,65,87,31,76,79,30,66,1,0,2,5,None,Lane 2,Starvation,3
11,11,64,45,22,35,93,91,0,1,3,6,Ambulance,Lane 1,Emergency_Ambulance,10
79,16,11,73,66,32,39,58,1,2,0,7,None,Lane 3,Starvation,3
50,14,76,69,38,67,59,88,2,3,0,8,None,Lane 3,Gridlock_Avoidance,6
84,53,82,82,79,36,46,54,3,0,1,9,Fire Truck,Lane 2,Emergency_Fire Truck,10
41,69,28,46,73,21,73,35,4,0,2,10,Ambulance,Lane 2,Emergency_Ambulance,10
48,39,48,15,59,17,86,98,0,1,3,11,Fire Truck,Lane 1,Emergency_Fire Truck,10
48,39,48,15,59,17,86,98,1,2,4,0,Police,Lane 4,Emergency_Police,10
25,77,28,75,31,88,42,90,2,3,0,1,None,Lane 3,Starvation,3
37,48,29,81,43,93,93,35,3,4,0,2,Ambulance,Lane 3,Emergency_Ambulance,10
57,98,37,28,78,85,25,68,0,5,1,3,Ambulance,Lane 1,Emergency_Ambulance,10
84,72,83,28,71,45,27,76,1,0,2,4,None,Lane 2,Starvation,6
88,33,57,16,65,63,14,28,2,0,3,5,Police,Lane 2,Emergency_Police,10
14,34,96,62,22,19,18,79,3,1,0,6,None,Lane 3,Starvation,10
51,44,28,46,61,79,64,70,4,2,1,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
65,23,56,37,78,36,90,30,5,3,0,1,Ambulance,Lane 3,Emergency_Ambulance,10
65,47,82,29,82,91,96,23,6,4,1,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
84,89,57,60,46,14,57,59,0,5,2,1,None,Lane 1,Starvation,6
68,47,41,32,99,72,75,35,1,0,3,2,None,Lane 2,Starvation,3
49,17,37,52,24,22,46,41,2,0,4,3,Fire Truck,Lane 2,Emergency_Fire Truck,10
49,17,37,52,24,22,46,41,3,1,5,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
86,19,92,80,35,54,51,63,4,2,6,0,Ambulance,Lane 4,Emergency_Ambulance,10
44,74,67,41,65,14,62,96,5,0,7,1,Ambulance,Lane 2,Emergency_Ambulance,10
99,67,58,54,52,71,61,88,6,1,8,0,Ambulance,Lane 4,Emergency_Ambulance,10
64,22,88,42,67,90,40,75,0,2,9,1,None,Lane 1,Starvation,3
92,25,67,97,32,77,82,22,1,3,10,0,None,Lane 4,Gridlock_Avoidance,10
34,12,95,87,89,40,94,37,2,4,0,1,Police,Lane 3,Emergency_Police,10
95,33,15,77,78,43,20,100,3,5,0,2,Ambulance,Lane 3,Emergency_Ambulance,10
95,33,15,77,78,43,20,100,4,0,1,3,Police,Lane 2,Emergency_Police,10
46,60,87,37,82,76,35,16,0,1,2,4,Fire Truck,Lane 1,Emergency_Fire Truck,10
46,60,87,37,82,76,35,16,1,2,0,5,Police,Lane 3,Emergency_Police,10
67,91,26,16,61,22,70,63,2,3,1,0,None,Lane 4,Starvation,3
61,86,60,57,77,31,22,81,3,0,2,1,None,Lane 2,Starvation,10
97,72,28,57,91,17,58,13,4,0,3,2,None,Lane 2,Gridlock_Avoidance,6
23,53,95,14,18,81,19,53,0,1,4,3,None,Lane 1,Starvation,3
76,95,83,13,88,64,18,29,1,2,0,4,Police,Lane 3,Emergency_Police,10
43,63,72,22,93,42,41,49,2,3,0,5,Ambulance,Lane 3,Emergency_Ambulance,10
32,72,71,99,74,41,95,29,3,0,1,6,None,Lane 2,Starvation,6
20,14,26,87,45,42,80,21,0,1,2,7,None,Lane 1,Starvation,3
91,21,11,71,45,24,47,83,1,0,3,8,Ambulance,Lane 2,Emergency_Ambulance,10
98,70,41,95,33,79,31,49,2,1,0,9,None,Lane 3,Starvation,3
47,96,45,27,64,20,63,44,3,2,1,0,None,Lane 4,Starvation,3
87,70,12,32,13,48,44,45,0,3,2,1,None,Lane 1,Starvation,10
33,88,63,72,83,12,26,72,1,0,3,2,None,Lane 2,Starvation,10
45,59,72,93,43,57,14,53,0,1,4,3,Police,Lane 1,Emergency_Police,10
87,77,36,75,11,52,43,74,1,2,5,0,Ambulance,Lane 4,Emergency_Ambulance,10
29,98,90,60,91,71,25,14,2,3,6,0,Police,Lane 4,Emergency_Police,10
21,26,78,80,97,66,13,92,3,0,7,1,None,Lane 2,Starvation,3
48,69,79,71,12,42,17,12,0,1,8,2,None,Lane 1,Starvation,3
55,31,26,18,15,66,12,62,1,2,0,3,None,Lane 3,Starvation,3
62,90,14,24,17,96,89,52,2,3,0,4,Ambulance,Lane 3,Emergency_Ambulance,10
71,22,32,82,46,11,24,57,3,0,1,5,Fire Truck,Lane 2,Emergency_Fire Truck,10
22,33,61,77,41,66,30,45,0,1,2,6,Ambulance,Lane 1,Emergency_Ambulance,10
98,14,58,20,94,53,49,73,1,2,3,0,None,Lane 4,Starvation,3
60,22,45,92,19,92,54,47,2,3,0,1,None,Lane 3,Starvation,3
28,89,46,73,49,50,46,61,3,0,1,2,None,Lane 2,Starvation,10
31,10,94,35,57,75,53,98,0,1,2,3,None,Lane 1,Starvation,3
82,41,32,95,43,61,11,61,1,2,3,0,None,Lane 4,Starvation,10
20,32,17,33,64,28,51,19,2,0,4,1,Ambulance,Lane 2,Emergency_Ambulance,10
20,32,17,33,64,28,51,19,3,1,5,0,Police,Lane 4,Emergency_Police,10
50,38,52,95,37,48,19,90,4,2,6,0,Police,Lane 4,Emergency_Police,10
93,37,33,79,81,68,99,61,0,3,7,1,Police,Lane 1,Emergency_Police,10
22,90,66,81,28,13,47,49,1,0,8,2,None,Lane 2,Starvation,10
66,19,71,20,77,83,80,50,2,1,9,0,Ambulance,Lane 4,Emergency_Ambulance,10
13,83,50,89,66,35,30,77,3,0,10,1,Fire Truck,Lane 2,Emergency_Fire Truck,10
85,20,50,54,25,31,40,10,0,1,11,2,None,Lane 1,Starvation,6
72,72,24,22,39,57,89,19,0,2,12,3,None,Lane 1,Gridlock_Avoidance,6
52,62,75,59,60,90,64,32,1,3,0,4,None,Lane 3,Starvation,6
19,58,98,55,27,18,57,49,2,0,1,5,None,Lane 2,Starvation,3
69,87,44,31,79,74,21,82,3,0,2,6,Ambulance,Lane 2,Emergency_Ambulance,10
69,87,44,31,79,74,21,82,4,1,3,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
12,28,78,75,86,39,85,43,0,2,4,1,Ambulance,Lane 1,Emergency_Ambulance,10
32,87,33,69,44,76,98,81,1,0,5,2,None,Lane 2,Gridlock_Avoidance,10
30,41,34,96,15,34,57,22,2,1,0,3,None,Lane 3,Starvation,3
76,77,10,57,91,90,39,73,3,2,0,4,Police,Lane 3,Emergency_Police,10
65,29,84,96,72,53,23,11,0,3,1,5,None,Lane 1,Starvation,3
74,73,34,15,73,29,55,46,1,0,2,6,Fire Truck,Lane 2,Emergency_Fire Truck,10
74,73,34,15,73,29,55,46,2,1,0,7,Fire Truck,Lane 3,Emergency_Fire Truck,10
79,84,27,92,61,28,86,46,3,2,1,0,None,Lane 4,Starvation,10
26,35,12,55,34,74,10,20,0,3,2,1,None,Lane 1,Starvation,3
71,32,27,12,14,27,49,90,0,4,3,2,Ambulance,Lane 1,Emergency_Ambulance,10
92,45,88,66,56,64,43,87,0,5,4,3,Police,Lane 1,Emergency_Police,10
28,79,65,34,99,31,64,29,1,0,5,4,None,Lane 2,Starvation,6
34,100,36,15,23,92,44,55,2,1,0,5,None,Lane 3,Starvation,3
16,38,68,96,91,96,51,96,3,2,0,6,None,Lane 3,Gridlock_Avoidance,3
12,80,57,24,17,39,100,86,4,0,1,7,Fire Truck,Lane 2,Emergency_Fire Truck,10
12,80,57,24,17,39,100,86,0,1,2,8,Police,Lane 1,Emergency_Police,10
90,91,82,51,52,74,12,28,1,2,3,0,None,Lane 4,Starvation,3
49,68,97,13,74,60,46,99,2,3,4,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
49,68,97,13,74,60,46,99,3,0,5,1,Police,Lane 2,Emergency_Police,10
47,51,66,93,72,30,15,63,4,0,6,2,Ambulance,Lane 2,Emergency_Ambulance,10
43,47,43,77,23,69,68,42,0,1,7,3,None,Lane 1,Starvation,3
61,53,27,10,91,43,90,44,1,0,8,4,None,Lane 2,Gridlock_Avoidance,3
39,11,65,35,43,83,13,32,2,0,9,5,Fire Truck,Lane 2,Emergency_Fire Truck,10
64,67,99,41,65,42,89,90,3,0,10,6,Fire Truck,Lane 2,Emergency_Fire Truck,10
73,23,97,23,12,15,57,88,0,1,11,7,None,Lane 1,Starvation,6
42,54,71,45,14,38,69,89,1,2,0,8,None,Lane 3,Starvation,6
18,76,11,34,49,30,41,39,2,0,1,9,Police,Lane 2,Emergency_Police,10
78,26,37,58,79,60,94,68,3,1,0,10,Police,Lane 3,Emergency_Police,10
14,10,16,88,70,37,16,72,0,2,1,11,None,Lane 1,Starvation,3
17,67,84,47,15,26,50,62,1,0,2,12,Police,Lane 2,Emergency_Police,10
12,14,64,68,15,79,27,61,2,1,3,0,None,Lane 4,Starvation,3
86,50,16,60,22,85,85,92,3,0,4,1,Police,Lane 2,Emergency_Police,10
89,32,28,93,36,86,75,38,0,1,5,2,Ambulance,Lane 1,Emergency_Ambulance,10
90,32,41,64,63,64,31,70,1,2,6,0,Police,Lane 4,Emergency_Police,10
24,64,22,83,22,22,65,49,2,3,0,1,None,Lane 3,Starvation,3
25,32,24,35,12,61,34,22,3,4,1,0,Ambulance,Lane 4,Emergency_Ambulance,10
11,47,12,70,59,43,58,18,0,5,2,1,Fire Truck,Lane 1,Emergency_Fire Truck,10
63,89,50,58,14,45,39,29,1,0,3,2,Police,Lane 2,Emergency_Police,10
27,27,50,31,57,41,35,99,2,1,0,3,None,Lane 3,Starvation,3
44,28,15,78,83,69,14,83,3,0,1,4,None,Lane 2,Gridlock_Avoidance,3
21,63,34,41,20,68,81,60,4,1,0,5,Fire Truck,Lane 3,Emergency_Fire Truck,10
66,62,60,53,48,23,51,65,0,2,1,6,None,Lane 1,Starvation,3
54,56,12,55,41,79,27,48,1,3,2,0,None,Lane 4,Starvation,3
27,93,59,70,80,38,70,38,2,0,3,1,None,Lane 2,Starvation,10
71,52,100,15,12,92,35,19,3,1,0,2,Fire Truck,Lane 3,Emergency_Fire Truck,10
73,14,67,39,69,35,37,69,0,2,1,3,None,Lane 1,Starvation,6
28,53,99,98,35,87,34,49,1,3,2,0,None,Lane 4,Starvation,10
73,92,22,19,17,76,88,81,2,0,3,1,None,Lane 2,Starvation,10
78,85,40,80,64,72,20,58,3,1,0,2,None,Lane 3,Starvation,3
11,71,80,100,67,48,86,14,0,2,1,3,None,Lane 1,Starvation,3
41,32,15,18,36,72,48,39,0,3,2,4,Police,Lane 1,Emergency_Police,10
51,74,100,47,35,92,72,19,1,4,0,5,None,Lane 3,Gridlock_Avoidance,10
45,76,49,91,93,12,82,15,2,0,1,6,None,Lane 2,Starvation,6
54,85,72,83,24,81,81,27,3,1,2,0,None,Lane 4,Starvation,6
35,53,49,70,17,62,92,48,0,2,3,1,None,Lane 1,Starvation,3
41,94,15,26,43,22,52,33,1,3,0,2,None,Lane 3,Starvation,3
87,19,83,93,72,42,66,93,2,4,1,0,Ambulance,Lane 4,Emergency_Ambulance,10
87,19,83,93,72,42,66,93,3,5,0,1,Fire Truck,Lane 3,Emergency_Fire Truck,10
30,41,67,18,70,82,54,58,0,6,1,2,None,Lane 1,Starvation,3
84,16,72,100,88,95,64,92,0,7,2,3,Fire Truck,Lane 1,Emergency_Fire Truck,10
84,16,72,100,88,95,64,92,1,8,3,0,Police,Lane 4,Emergency_Police,10
19,88,61,54,52,18,35,64,2,0,4,1,None,Lane 2,Starvation,10
68,45,59,99,32,61,11,89,3,0,5,2,Ambulance,Lane 2,Emergency_Ambulance,10
